"ScanNumber, ScanName, ScanPointNumber, corr_Xcoord in mm per BX, corr_Ycoord in mm per BX"
Scan_1
1,X1,22,"{'281': 0.0010973515806566685, '1783': 0.001070820300387759, '872': 0.0010574258744449657, '2063': 0.0011664414419325633, '41': 0.0010775355086446439}","{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}"
1,X1,23,"{'281': 0.0009891657439071186, '1783': 0.00096505999769789781, '872': 0.00095375495050329501, '2063': 0.0010515318819758659, '41': 0.00097363345863828675}","{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}"
1,X1,24,"{'281': 0.00089907018585831428, '1783': 0.00087709617760973362, '872': 0.00086713164553096661, '2063': 0.00095586448401862841, '41': 0.00088617406858601446}","{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}"
1,X1,25,"{'281': 0.00082366374383239594, '1783': 0.00080358486917028033, '872': 0.00079457817572089117, '2063': 0.00087582460184096344, '41': 0.00081256854317106699}","{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}"
Scan_2
2,Y2,1,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': -0.0007634302877786574, '1783': -0.00074534094661478649, '872': -0.00073756170891180694, '2063': -0.00081310066697382283, '41': -0.00075866081038015738}"
2,Y2,2,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': -0.00083213945626170027, '1783': -0.00081247016930273593, '872': -0.00080398276347338473, '2063': -0.00088637910537335204, '41': -0.00082731169118026586}"
2,Y2,3,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': -0.00091402750191764989, '1783': -0.00089255389535934724, '872': -0.00088313655949400264, '2063': -0.00097379115848554793, '41': -0.00090880171344600886}"
2,Y2,4,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': -0.001012373205779209, '1783': -0.00098887753500984392, '872': -0.00097799431400732409, '2063': -0.0010788197445622933, '41': -0.0010056206699597197}"
2,Y2,5,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': -0.0011299901539537224, '1783': -0.0011043723610657846, '872': -0.0010908387816115374, '2063': -0.0012044362039604609, '41': -0.0011184726010290528}"
