Scan,Type,BCID,sigma,sigmaErr,sigmaRatio,sigmaRatio_Err,Amp,AmpErr,Frac,FracErr,Mean,MeanErr,CapSigma,CapSigmaErr,peak,peakErr,area,areaErr,fitStatus,chi2,ndof
1,Y,644,0.09169327734211717,0.0003923726789741147,0.9999962745816473,0.010298570663560769,0.3223323198089312,0.0022598625360982505,0.9900000162781969,0.7559344974134888,-0.0008754084309249639,0.0005106945584232571,0.09169327734211717,0.0003923726789741147,0.3223323198089312,0.0022598625360982505,0.07408517033298181,0.0006085146599981254,-999,1125.7321689263301,40
1,Y,1215,0.0907892622102611,0.0003850455236537637,0.9999921183754926,0.012683529279657102,0.33027734114599405,0.0022865777303683332,0.9899999881628245,0.755934553930775,-0.0013418916230395438,0.0004999294739265166,0.0907892622102611,0.0003850455236537637,0.33027734114599405,0.0022865777303683332,0.0751628433497665,0.0006102446210939338,-999,940.5708580292991,40
1,Y,2269,0.09075104590252814,0.0004062909632471062,0.9999925957698643,0.012831402388194524,0.33269432601183396,0.0024232162733491824,0.9899999961995325,0.7559345377765466,-0.0004467304855714706,0.0005223297208389021,0.09075104590252814,0.0004062909632471062,0.33269432601183396,0.0024232162733491824,0.07568101836944875,0.0006470367814816413,-999,1059.1082105434434,41
1,Y,2389,0.09051124470012036,0.0004044352067555296,0.9999956201334829,0.012860751986045138,0.3321874238660878,0.0023982228807090944,0.9900000043335746,0.7559345214244997,-0.00017636363158126628,0.0005156499810481147,0.09051124470012036,0.0004044352067555296,0.3321874238660878,0.0023982228807090944,0.07536603334595592,0.0006398885936263883,-999,955.2118369958938,41
1,Y,2589,0.09045860752159311,0.000396699486505535,0.9999931629538945,0.00959832106132863,0.33815270596875324,0.0024397077629313146,0.9900000125912776,0.7559345048250292,0.00036122643669754973,0.0005201587777274852,0.09045860752159311,0.000396699486505535,0.33815270596875324,0.0024397077629313146,0.07667480839787738,0.0006473708632230312,-999,1804.4929765914999,40
1,Y,sum,-0.00213002319203164,3.3648009906889667,2.0691400869464376,3.4335421286740693,0.5043372588874984,3.045532631873109,0.9999385354446491,0.7071162459292415,-0.00959844593462625,14.573572740127384,-0.00213002319203164,3.3648009906889667,0.5043372588874984,3.045532631873109,-0.002692745569497123,4.253765495947118,-999,3.8635490919552164e-10,41
2,X,644,0.10349311412948776,0.00034815793549411136,0.9999742373798527,0.015611511753701013,0.30442480528921073,0.001975216567691007,0.9899998267136731,0.7559348789430091,0.00400428213339648,0.00046977594512220686,0.10349311412948776,0.00034815793549411136,0.30442480528921073,0.001975216567691007,0.07897350736036508,0.0005771862596597352,-999,1279.8771176382627,41
2,X,1215,0.1013915115119665,0.0003258357476246731,0.99999376876048,0.013360742344143528,0.3196413084065389,0.002017660097456714,0.9899999916802995,0.7559345468599564,0.004540973347251185,0.0004509487684121265,0.1013915115119665,0.0003258357476246731,0.3196413084065389,0.002017660097456714,0.08123710369427475,0.0005754210801077946,-999,924.0431822945042,40
2,X,2269,0.10129569355242633,0.00035124134041362943,0.9999790647680623,0.014634982403644525,0.3201185763548031,0.002136489236251926,0.9899998751091875,0.7559347812217501,0.0030894911941722033,0.00047498560870202675,0.10129569355242633,0.00035124134041362943,0.3201185763548031,0.002136489236251926,0.08128151565746822,0.0006113238706304052,-999,1303.1722237911608,41
2,X,2389,0.10200235911214073,0.00035016495372770014,0.9998721531971014,0.016050918975277106,0.3178603338122119,0.0021170182101094837,0.9899963060013561,0.7559419600381992,0.003418029385809855,0.000466546574069935,0.10200235911214073,0.00035016495372770014,0.3178603338122119,0.0021170182101094837,0.08127116505273209,0.0006089555674295448,-999,2549.5166976089795,41
2,X,2589,0.10099371936687257,0.00033554833006836285,0.999995191528832,0.011574407302754053,0.3227326451577139,0.002126792695474944,0.990000008026336,0.7559345140012462,0.003529130405632305,0.0004727362660222523,0.10099371936687257,0.00033554833006836285,0.3227326451577139,0.002126792695474944,0.08170096727473754,0.000602963426123243,-999,867.2020089251713,40
2,X,sum,-0.00213002319203164,3.3648009906889667,2.0691400869464376,3.4335421286740693,0.5043372588874984,3.045532631873109,0.9999385354446491,0.7071162459292415,-0.00959844593462625,14.573572740127384,-0.00213002319203164,3.3648009906889667,0.5043372588874984,3.045532631873109,-0.002692745569497123,4.253765495947118,-999,3.8635490919552164e-10,41
3,Y,644,0.09798254451367493,0.0003080750099793293,0.9999955441220952,0.01425727994365833,0.29095441962998086,0.001483629543124032,0.9899999976278405,0.7559345349053025,0.00037626908473139425,0.0004080097107405157,0.09798254451367493,0.0003080750099793293,0.29095441962998086,0.001483629543124032,0.07146009779700119,0.00042809037060383446,-999,906.6958136811764,40
3,Y,1215,0.09673084638722458,0.0002918248467993353,0.9999909280125994,0.00862326205673114,0.29895257752623083,0.0015208805606003462,0.9900000109533257,0.7559345081177503,0.0004820905960919767,0.0003961653474774827,0.09673084638722458,0.0002918248467993353,0.29895257752623083,0.0015208805606003462,0.07248651565498704,0.0004287306561792566,-999,2952.548644241893,41
3,Y,2269,0.09736057938912089,0.0003212733950704243,0.9999966487514975,0.011716579472487498,0.2932657234153067,0.0016046723412813102,0.9900000089973631,0.755934512049298,0.0008267721363658386,0.0004211359022763841,0.09736057938912089,0.0003212733950704243,0.2932657234153067,0.0016046723412813102,0.0715705558156262,0.00045731717432194154,-999,1280.5539198312742,41
