Scan,Type,BCID,sigma,sigmaErr,sigmaRatio,sigmaRatio_Err,Amp,AmpErr,Frac,FracErr,Mean,MeanErr,CapSigma,CapSigmaErr,peak,peakErr,area,areaErr,fitStatus,chi2,ndof
2,X,2589,0.10400393000415493,0.0002955385603411024,0.9999928947187896,0.007738632318347871,0.829998503080267,1.414948497992437,0.3224711952934302,0.0021216693419359722,5.060941078634453e-07,1.414213562554278,0.10400393000415493,0.0002955385603411024,0.829998503080267,1.414948497992437,0.21637993879979697,0.3688764420630046,-999,923.8033843067635,41
2,X,sum,-0.002216149008866926,1058.29846002016,1.0000590188997909,2.290032293004402,0.8300000000039852,1.4149492572868843,0.22000000000007125,3.622391808841902,8.148554342405205e-17,1.4142135623730951,-0.002216149008866926,1058.29846002016,0.8300000000039852,1.4149492572868843,-0.00461070126615182,2201.791499619134,-999,0.048400000000031265,42
3,Y,644,0.09980521685524649,0.0002541534059563062,0.9999985128896096,0.0069339397558737526,0.8299999382664269,1.4149492259718386,0.2909918459813437,0.001513844762116523,3.952052567242165e-08,1.4142135623730954,0.09980521685524649,0.0002541534059563062,0.8299999382664269,1.4149492259718386,0.207644884731612,0.353984721165889,-999,907.5463448558495,41
3,Y,1215,0.09990163358098751,1.7077063902037736e-09,0.9999986225940971,1.947932914969641e-08,0.8299998855208074,1.5971786274104893e-06,0.2990235519337443,6.821619380481536e-09,1.6831159615150956e-08,4.617987937179541e-05,0.09990163358098751,1.7077063902037736e-09,0.8299998855208074,1.5971786274104893e-06,0.20784546664777,3.9997527752298205e-07,-999,2954.0347211609137,42
3,Y,2269,0.10007901383157361,0.0002693933780172026,0.9999999480452957,0.0003308105976049247,1.3218146122368912,1.6034244453035198,0.2932935842284413,0.0014950933486428397,35.578442605429274,1.4141380027948347,0.10007901383157361,0.0002693933780172026,1.3218146122368912,1.6034244453035198,0.3315915844460513,0.40223746694652585,-999,1284.4094520234366,42
3,Y,2389,0.10038762325699517,0.00027343875899839314,0.9999947063164092,0.006809033824262345,0.829998964594046,1.4149487320942138,0.292675344022301,0.0015802072247411425,4.4017385184586473e-07,1.4142135624515337,0.10038762325699517,0.00027343875899839314,0.829998964594046,1.4149487320942138,0.2088563370057478,0.35605030736146764,-999,1428.7368025763817,42
3,Y,2589,0.09935717431826747,0.00026961438949032167,0.9999935105821247,0.007364765046278032,0.8299986969308675,1.414948596329935,0.2957406729358557,0.0016023177075565054,4.832402551212582e-07,1.4142135623879204,0.09935717431826747,0.00026961438949032167,0.8299986969308675,1.414948596329935,0.20671242248857136,0.3523955202198566,-999,1758.7936445190373,42
3,Y,sum,-0.0024656778693398175,0.03498577378359274,1.0000281789011018,2.2900641549978733,0.83,1.4149492572848628,0.27873785643844445,3.4558567800410973,1.3177486367952682e-16,1.4142135623730951,-0.0024656778693398175,0.03498577378359274,0.83,1.4149492572848628,-0.005129846426637858,0.0733114166412462,-999,0.07769479261189886,42
4,X,644,0.11029109478594373,0.00026495796486021746,0.9999979950000537,0.005806681072926034,0.6405421229663975,1.309171139378985,0.28944849707456877,0.0014538925787239976,2.3244744692920304e-08,1.4142135623746959,0.11029109478594373,0.00026495796486021746,0.6405421229663975,1.309171139378985,0.17708349169556423,0.3619321016111819,-999,737.525573433627,42
4,X,1215,0.10863995065290287,0.00025873037429887747,0.9999960357071183,0.007794221448562899,0.8299995739716707,1.4149490411875696,0.29533414688302706,0.0014428217723928272,1.0595938038049242e-07,1.414213562405214,0.10863995065290287,0.00025873037429887747,0.8299995739716707,1.4149490411875696,0.2260254607946761,0.38531925935721145,-999,766.838680193693,42
4,X,2269,0.10956002190023392,0.0002866679581751491,1.0000008121242356,0.006885275796819912,0.2855556391024823,1.0440504585308334,0.29660543324335026,0.0015100257801878292,2.585192383165632e-09,1.4142135623730958,0.10956002190023392,0.0002866679581751491,0.2855556391024823,1.0440504585308334,0.07842107395165653,0.2867237342645605,-999,932.4101718774233,42
4,X,2389,0.11062737387314528,0.00028153099180903946,1.0000000012986061,4.993887458837332e-06,0.5914821256574275,1.2783857977391464,0.29210450645787095,0.0014996505801679882,1359.3850693006582,1.4142135623730951,0.11062737387314528,0.00028153099180903946,0.5914821256574275,1.2783857977391464,0.16401900091548166,0.35449880492301306,-999,890.5176670506698,42
4,X,2589,0.11033576386356231,0.00029677398905390026,0.9999991158163651,0.007589660120984332,0.8299999792463011,1.414949246757994,0.2994166651469163,0.0015239550776776911,1.5406267181823806e-09,1.414213562373097,0.11033576386356231,0.00029677398905390026,0.8299999792463011,1.414949246757994,0.22955371294496818,0.39133405497511226,-999,1026.2938043583442,42
4,X,sum,-0.002216149008866926,1058.29846002016,1.0000590188997909,2.290032293004402,0.8300000000039852,1.236366683370389,0.22000243764670888,3.75238144683306,8.148554342405205e-17,12.856344479638098,-0.002216149008866926,1058.29846002016,0.8300000000039852,1.236366683370389,-0.00461070126615182,2201.791499615816,-999,3.481130010758013e-24,42
5,Y,644,0.09845419045443309,0.00039237356844655155,0.5132397842987362,0.030305100476674562,0.9486583331016911,0.010406682371511267,0.29036434470106154,0.0027489383562435965,0.034305528756436214,0.024973583435988253,0.09845419045443309,0.00039237356844655155,0.9486583331016911,0.010406682371511267,0.2341175473038267,0.0027324792061007934,-999,95.71393499970713,30
5,Y,1215,0.0972615284037792,3.287258175769028e-11,0.5909453263204442,1.6896130605736914e-09,0.9355043532127711,1.6368740252126202e-09,0.2961688546240951,2.0699153502334866e-10,0.05467146261390373,4.4143169170409e-08,0.0972615284037792,3.287258175769028e-11,0.9355043532127711,1.6368740252126202e-09,0.2280745553725377,4.0644421530067556e-10,-999,53.26334465120108,30
5,Y,2269,0.097498630833366,0.0004078131476135051,0.5866369469772083,0.0279178974758314,0.9084197106250922,0.021395716487444538,0.2997014006317614,0.002744882846299729,0.09237242945354537,0.03505301831521819,0.097498630833366,0.0004078131476135051,0.9084197106250922,0.021395716487444538,0.2220112591697888,0.005310776987112271,-999,59.66715603867064,30
5,Y,2389,0.09751592166253202,0.00043944481593950443,0.5841039919683555,0.031028247435974432,0.8844368904828432,0.031569080436241403,0.29707684908271564,0.002625665874500721,0.1883951331223336,0.04421589827165167,0.09751592166253202,0.00043944481593950443,0.8844368904828432,0.031569080436241403,0.21618836299073957,0.007777880423108488,-999,74.79643058601927,30
5,Y,2589,0.09796045913328313,nan,0.5002194326749427,nan,0.9556926184021564,nan,0.29427951329252444,nan,0.0050537713296117046,nan,0.09796045913328313,nan,0.9556926184021564,nan,0.23467075887459274,nan,-999,80.307082494806,30
5,Y,sum,0.0017603471181259448,0.03188979280119074,1.0,2.290093268443689,0.83,1.4149492572848628,0.22000000042675874,3.6223691592451877,-5.2140821649366264e-17,1.4142135623730951,0.0017603471181259448,0.03188979280119074,0.83,1.4149492572848628,0.0036624047633515427,0.06663988393855715,-999,0.04840000019496934,30
6,X,644,0.10827992288752314,0.0003908148495967858,0.6241200927588796,0.05701974045377722,0.9418495084289678,0.02535038258660971,0.2872259539992068,0.0023517479198635616,0.0034640747385591853,0.031828542223313196,0.10827992288752314,0.0003908148495967858,0.9418495084289678,0.02535038258660971,0.25563445429178416,0.006942125478766048,-999,27.66648262573252,30
6,X,1215,0.10712425487935268,0.0003780011841255095,0.65782120853884,0.04132339887481068,0.9170865127413951,0.02637244552125123,0.29747188982800754,0.0023425908870670364,0.015489376579449429,0.036435285879364177,0.10712425487935268,0.0003780011841255095,0.9170865127413951,0.02637244552125123,0.2462566996871588,0.007134660438162521,-999,63.360927780578905,30
6,X,2269,0.1081968395361345,0.0004481434150014713,1.5022551559447188,0.19304867979006357,0.0779399414978802,0.06507299149187684,0.2947575809174858,0.002257213261985802,0.9268186877901956,0.06291883745506659,0.1081968395361345,0.0004481434150014713,0.0779399414978802,0.06507299149187684,0.021138033640396188,0.01764861485488704,-999,32.67927678501166,30
6,X,2389,0.10922412531919418,2.1186217685137584e-09,0.5004456500204646,1.381670777789168e-09,0.973143853734603,5.208046216509388e-10,0.2882574364255913,8.36956226546448e-09,-0.02083671816052718,4.041710266810891e-10,0.10922412531919418,2.1186217685137584e-09,0.973143853734603,5.208046216509388e-10,0.26643149010668293,5.1699417320398366e-09,-999,44.1089634216355,30
6,X,2589,0.1078303332697376,0.0003759631829943194,0.5000000421670011,0.04867846825713379,0.9683313199694372,0.0044719455745579895,0.29271146923839336,0.0027218669578407684,0.016724393251448366,0.022654577112937942,0.1078303332697376,0.0003759631829943194,0.9683313199694372,0.0044719455745579895,0.2617308169060497,0.0015145206128653796,-999,37.73972865779676,30
6,X,sum,0.0017603471181259448,0.03188979280119074,1.0,2.290093268443689,0.83,1.4149492572848628,0.22000000042675874,3.6223691592451877,-5.2140821649366264e-17,1.4142135623730951,0.0017603471181259448,0.03188979280119074,0.83,1.4149492572848628,0.0036624047633515427,0.06663988393855715,-999,0.04840000019496934,30
7,Y,644,0.09919578034690182,0.0004740319393944777,0.545227008414835,0.061509927323561586,0.9336066202889662,0.028417131260436712,0.2897336558831185,0.002575487316851588,0.10924967983594429,0.041905482359201655,0.09919578034690182,0.0004740319393944777,0.9336066202889662,0.028417131260436712,0.2321384365262306,0.007152385080113856,-999,127.09253342880919,30
7,Y,1215,0.09719448045224938,0.00038093990124802674,0.5198490420678016,0.03501599279840967,0.9481282195132169,0.012294106440058405,0.30323469643526657,0.0026959323326608,0.08807698558260135,0.0265112231565733,0.09719448045224938,0.00038093990124802674,0.9481282195132169,0.012294106440058405,0.2309928885075186,0.003129054309746675,-999,86.75511741017066,30
