Scan,Type,BCID,sigma,sigmaErr,sigmaRatio,sigmaRatio_Err,Amp,AmpErr,Frac,FracErr,Mean,MeanErr,Const,ConstErr,CapSigma,CapSigmaErr,peak,peakErr,area,areaErr,fitStatus,chi2,ndof
1,Y,644,0.09001652041418506,0.0005224442183772598,0.7512965639834135,0.026504107975802937,0.3287907948171654,0.0026395914330711034,0.7936648509772442,0.1204980770841047,-0.0010000774879625938,0.0005132778521863494,4.985711843374929e-11,0.0006536413121982776,0.09001652041418506,0.0005224442183772598,0.3287907948171654,0.0026395914330711034,0.07418768264891387,0.0007349321575554419,0,13.82536681868828,18
1,Y,1215,0.08900638583494518,0.0005244428492293067,0.7367223457138021,0.04626914378093239,0.3371754440161376,0.0026620425954537175,0.8210747787185105,0.1353519149798067,-0.0012702286120356001,0.0005012638937625444,9.01129265881706e-05,7.243903946937968e-05,0.08900638583494518,0.0005244428492293067,0.3371754440161376,0.0026620425954537175,0.0752258387703885,0.0007410831730019901,0,22.966667491541063,18
1,Y,2269,0.08897174689697931,0.0004958753631105445,0.692128054861603,0.026203315502094704,0.3401504170419424,0.002719875589073051,0.8734236307505072,0.05214960618666287,-0.0003139117672955432,0.0005246420751680209,5.551115123125783e-17,0.00018433282738397616,0.08897174689697931,0.0004958753631105445,0.3401504170419424,0.002719875589073051,0.07586003865397509,0.0007393936624188009,0,23.707148601393875,19
1,Y,2389,0.08829774580421038,0.0005543166402107024,0.7234387201048416,0.0329255375876234,0.3409511949833853,0.0028348764726103537,0.7856404629412288,0.1258684642564047,-0.0002839363398520478,0.0005176576473339515,0.00012600668014961514,7.95475671227508e-05,0.08829774580421038,0.0005543166402107024,0.3409511949833853,0.0028348764726103537,0.075462600544599,0.0007862017877463905,0,17.013496804455166,19
1,Y,2589,0.08860979108552132,0.0005930909729262281,0.7777300885629281,0.029067913287749714,0.34541560944405353,0.003019285027388463,0.5324555524402735,0.2639464592940983,0.0003568527759411406,0.0005210343318518567,4.9764946639219154e-05,5.348182281861291e-05,0.08860979108552132,0.0005930909729262281,0.34541560944405353,0.003019285027388463,0.07672088543665348,0.0008446463130039792,0,10.596368860584082,18
1,Y,sum,-0.00016155893120905077,4.828556722510408e-07,1.0226330659201779,3.438492235717879e-07,0.22000904769566582,1.2830209485169e-06,0.3239042809956527,2.2426526427099044e-07,0.0009766947887754711,4.828828215692565e-07,2.9755947023035745e-07,2.42672448249264e-07,-0.00016155893120905077,4.828556722510408e-07,0.22000904769566582,1.2830209485169e-06,-8.909666472620182e-05,2.6628618743403744e-07,0,2.2151774281763925e-12,19
2,X,644,0.10115470258423176,0.00046327548851941673,0.7440534889420818,0.019969044636239164,0.31328883522039763,0.0023186726957604153,0.8019911562731403,0.0842891181150261,0.004426527494868623,0.00047492536314856575,1.4494516697993731e-12,7.853713396852036e-05,0.10115470258423176,0.00046327548851941673,0.31328883522039763,0.0023186726957604153,0.07943665163238964,0.0006913775718668793,0,29.27657425586494,19
2,X,1215,0.09995476872733383,0.000418679500789726,1.4746403173381661,0.09951479439640731,0.3255418474917259,0.0022697510370850715,0.054220813669302814,0.030672818126681017,0.0048628805189306415,0.0004566433891057988,4.704625578000332e-12,5.931158297353689e-05,0.09995476872733383,0.000418679500789726,0.3255418474917259,0.0022697510370850715,0.08156433067049662,0.0006634196340910247,0,28.10024875609615,18
2,X,2269,0.09922066108393193,0.00045367415541528654,0.6897389399253696,0.029531535040999757,0.32880704041337594,0.002447663275347456,0.9017167741071659,0.0409800953888268,0.003450191626432156,0.0004795605012690158,5.6087912092550596e-12,0.00017440196801143948,0.09922066108393193,0.00045367415541528654,0.32880704041337594,0.002447663275347456,0.08177737362416981,0.0007144217978580921,0,22.387480560785118,19
2,X,2389,0.09924714542879746,0.0004646223694761323,0.7165923088913407,0.014493278287903033,0.3291155235494411,0.0024677614297705097,0.8083242780298403,0.053843793422685915,0.0039347364394729635,0.0004729716339487649,5.551115123125783e-17,2.0092731562365573e-05,0.09924714542879746,0.0004646223694761323,0.3291155235494411,0.0024677614297705097,0.08187594505079411,0.0007237508229568531,0,22.00535804738316,19
2,X,2589,0.09964160751729782,0.0004575787415105462,0.8151704943162632,0.01913766822265245,0.32808952559305044,0.002457848107035615,0.7297140344948785,0.15486815503640705,0.0037199785286176636,0.0004776360027390927,2.8160807019617096e-13,5.957128101335973e-06,0.09964160751729782,0.0004575787415105462,0.32808952559305044,0.002457848107035615,0.08194510671263953,0.000720043934346578,0,33.33699248933021,18
2,X,sum,-0.00016155893120905077,4.828556722510408e-07,1.0226330659201779,3.438492235717879e-07,0.22000904769566582,1.2830209485169e-06,0.3239042809956527,2.2426526427099044e-07,0.0009766947887754711,4.828828215692565e-07,2.9755947023035745e-07,2.42672448249264e-07,-0.00016155893120905077,4.828556722510408e-07,0.22000904769566582,1.2830209485169e-06,-8.909666472620182e-05,2.6628618743403744e-07,0,2.2151774281763925e-12,19
3,Y,644,0.09657800921571448,0.0003736684945124238,0.6587425130908853,0.035561431912289554,0.2957031193856647,0.0017049505591977543,0.9371732574715018,0.02720159420118906,0.0004439234128830878,0.0004086217576045305,4.451994328746878e-14,6.254714192707733e-05,0.09657800921571448,0.0003736684945124238,0.2957031193856647,0.0017049505591977543,0.07158533951429652,0.0004970605814993283,0,35.90988142464695,18
3,Y,1215,0.09585827267489969,0.00038020646575556,0.8048295190825052,0.045377951119213,0.3017815192577497,0.0017208150702155978,0.8515500852573921,0.138711674021732,0.00047837004603134024,0.0003964355240382866,2.697564394082974e-12,2.0467618041891678e-05,0.09585827267489969,0.00038020646575556,0.3017815192577497,0.0017208150702155978,0.0725123823229416,0.0005036704141170739,0,31.111298574211325,19
3,Y,2269,0.095555829982366,0.0004238603734688168,0.7368278074874778,0.022080985191722857,0.2992383743955593,0.0018528963749861183,0.8270784741004171,0.07358278101884247,0.0008768997749527527,0.00042225789094125783,3.8583136685588215e-11,2.3886586728666392e-05,0.095555829982366,0.0004238603734688168,0.2992383743955593,0.0018528963749861183,0.07167445676394384,0.0005459369725147198,0,17.592848034981333,19
3,Y,2389,0.09616885591677904,0.0003344234783049765,0.6837068717466015,0.027320395895310934,0.29850474281983036,0.0015067219670673038,0.9021512577459136,0.03736924779684592,0.0004921456021147866,0.0004225089664342568,2.4946711363327267e-13,0.0001181467744745257,0.09616885591677904,0.0003344234783049765,0.29850474281983036,0.0015067219670673038,0.07195742595602898,0.00044106231043868104,0,29.10728745850334,19
3,Y,2589,0.09525113370388548,0.00041613178936756283,1.2982664761882918,0.03216404078299717,0.3008614845875804,0.0018541873247247265,0.22151167351648382,0.10112455986177221,0.0003706741938655018,0.00042195819091271294,4.9960036108132044e-14,1.7126840835629542e-05,0.09525113370388548,0.00041613178936756283,0.3008614845875804,0.0018541873247247265,0.07183344283780803,0.0005426537894480172,0,42.03214432472472,19
3,Y,sum,-0.00016155893120905077,4.828556722510408e-07,1.0226330659201779,3.438492235717879e-07,0.22000904769566582,1.2830209485169e-06,0.3239042809956527,2.2426526427099044e-07,0.0009766947887754711,4.828828215692565e-07,2.9755947023035745e-07,2.42672448249264e-07,-0.00016155893120905077,4.828556722510408e-07,0.22000904769566582,1.2830209485169e-06,-8.909666472620182e-05,2.6628618743403744e-07,0,2.2151774281763925e-12,19
4,X,644,0.10585591859311584,0.00041497155189744445,0.7358649108115729,0.07480256150014603,0.29204505790870977,0.0016289127350734844,0.9461009987048711,0.05584436415920058,0.002943325839967008,0.0004295587042318402,3.277378368693462e-13,3.693942048210719e-05,0.10585591859311584,0.00041497155189744445,0.29204505790870977,0.0016289127350734844,0.07749165579641872,0.0005282937445096431,0,20.985214146935316,19
