Scan,Type,BCID,sigma,sigmaErr,sigmaRatio,sigmaRatio_Err,Amp,AmpErr,Frac,FracErr,Mean,MeanErr,Const,ConstErr,CapSigma,CapSigmaErr,peak,peakErr,area,areaErr,fitStatus,chi2,ndof
1,X,41,0.1347063436491932,0.0005567519605120129,1.0000022850955295,0.029098742834516023,72.04032621744764,0.42483379974946445,0.9949927533560402,0.7437613686582447,-0.0018948268306997241,0.0006608656229979063,1.9741769444993489,0.03389676572905875,0.1347063436491932,0.0005567519605120129,72.04032621744764,0.42483379974946445,24.325045042311924,0.17517227333715893,0,16.57144060703204,19
1,X,281,0.13110902788488488,0.0005247637018337899,1.0000025747100596,0.02845399824044642,75.62636913324141,0.4411493290594848,0.9954308244999448,0.7423937525453477,0.0011533898571240418,0.0006584886161050612,1.9587983367536,0.02455364023485085,0.13110902788488488,0.0005247637018337899,75.62636913324141,0.4411493290594848,24.853970678529105,0.17582683310861838,0,34.714598098523176,19
1,X,872,0.13207417146160108,0.0006163504767014272,1.0000012622317462,0.024861779275749674,75.5312528239994,0.46110799880014497,0.9899999998759257,0.7559345303851217,-0.0009917911393699484,0.0006988448648836932,2.1536053355033675,0.045556477961115505,0.13207417146160108,0.0006163504767014272,75.5312528239994,0.46110799880014497,25.005440952882793,0.19214764744713386,0,19.038476273995904,19
1,X,1783,0.1301239240753906,0.0005340039177306178,0.9811387254289285,0.9794982387356537,77.31610413082609,0.46921467288103713,0.9999999999999982,0.7133413738923615,-0.001671637083640289,0.0006587051652784283,2.074566762948158,0.032645674109613054,0.1301239240753906,0.0005340039177306178,77.31610413082609,0.46921467288103713,25.21837207528149,0.18475171028855206,0,38.890438266495096,19
1,X,2063,0.12894831044085417,0.0005935108998081397,0.9999500842402849,0.06444184090508187,76.08576946498536,0.4533770111165225,0.9945847372356607,0.7449742348091071,3.3655339089530064e-05,0.0006520303852208643,2.173556353478059,0.06308361562871023,0.12894831044085417,0.0005935108998081397,76.08576946498536,0.4533770111165225,24.59285942625539,0.18516925860374717,0,16.34106896084566,19
1,X,sum,-6.480529191056509e-07,3.186997203707284e-11,0.5269802303557631,1.2263853034051065e-10,1.1,4.979838095487428e-08,0.99,1.3120767045017764e-08,0.0,2.4546526139599552e-08,1.5131494945919144e-08,1.5565390076329514e-07,-6.480529191056509e-07,3.186997203707284e-11,1.1,4.979838095487428e-08,-1.7868705475361193e-06,8.78748275555664e-11,0,5.724053482459418e-15,19
10,Y,41,0.11613905321428575,0.0004979072816108663,0.9999971218536973,0.0359584470452014,76.10710625868423,0.47262640026480085,0.9964455936878469,0.7389063718228892,-0.0032620003198145214,0.000612655785175232,2.25484210113504,0.036625117602731905,0.11613905321428575,0.0004979072816108663,76.10710625868423,0.47262640026480085,22.15610552701619,0.16719287153316367,0,18.90226509911714,19
10,Y,281,0.11641950358536422,0.0005327014743053011,1.0000148122716168,0.032533749186997585,77.392355647779,0.4885083764428373,0.9960875743960114,0.7401945082404129,-0.0026202208548163908,0.0006337472185524077,2.233974964247559,0.03214923413431259,0.11641950358536422,0.0005327014743053011,77.392355647779,0.4885083764428373,22.584669683920602,0.17607311853067995,0,18.289176202647376,19
10,Y,872,0.11506764522205717,0.0005180483589358389,1.0000045486384148,0.01563972910707867,77.92940725298624,0.5133606230889853,0.990000002806129,0.7559345244948557,-0.0031650721781579048,0.0006397408826556881,2.309647091236313,0.025658159781950962,0.11506764522205717,0.0005180483589358389,77.92940725298624,0.5133606230889853,22.47732022068129,0.17934641275473703,0,21.457888905594167,19
10,Y,1783,0.11344443786823834,0.0005018390935092548,0.9999957527050556,0.04964801027298127,79.57247643759091,0.5119181662704761,0.9958772979831187,0.7409201158002743,-0.003228234002516136,0.0006126894320885325,2.3841106812334996,0.038286439661053606,0.11344443786823834,0.0005018390935092548,79.57247643759091,0.5119181662704761,22.62747094683154,0.1766636251500233,0,27.9983175373377,19
10,Y,2063,0.11527829428005326,0.0005327247618436838,1.000002003675333,0.034015450150401194,79.53190965894153,0.499166923777139,0.9960134347957763,0.7404528158852424,-0.0038227963205386037,0.0006130390545525702,2.1796135337858273,0.036724781359442016,0.11527829428005326,0.0005327247618436838,79.53190965894153,0.499166923777139,22.981527245225887,0.17911976015831757,0,25.257133391581714,19
10,Y,sum,-0.0018647892344909969,1.719528880320555e-05,1.4806833195820484,1.9519719467377477e-05,0.4463874589053808,6.079339805740686e-05,0.17947107153659847,1.076396863346143e-05,0.0017298279970112684,2.6883415256184277e-05,8.599961427435687e-06,0.0001375736926598219,-0.0018647892344909969,1.719528880320555e-05,0.4463874589053808,6.079339805740686e-05,-0.002086563818056415,1.924237863325723e-05,0,7.166075575276177e-09,19
11,X,41,0.13811961743406265,0.000574256096492088,1.000003885896604,0.034654770889199216,78.638463765631,0.454890766036371,0.9943478946300949,0.745654009261417,0.0014461057500544808,0.0006582122200273647,2.3057674040061524,0.04070206809395294,0.13811961743406265,0.000574256096492088,78.638463765631,0.454890766036371,27.22577942849786,0.19394932400632,0,23.700662212617523,19
11,X,281,0.13732995149699975,0.0005557353074948943,1.0000027399295432,0.03344210500230893,80.76218110258456,0.4510227267861495,0.9943583883291669,0.745624246549536,0.0019433684811120794,0.0006605847803386752,2.2636646140131655,0.03778301653531413,0.13732995149699975,0.0005557353074948943,80.76218110258456,0.4510227267861495,27.801180668164687,0.19173429524508342,0,27.949963989291554,19
11,X,872,0.1373803882699008,0.0005991608241579543,1.0000001840813493,0.031596893136132786,81.39746988482719,0.4749184053030078,0.629724514926574,0.6498293503000592,0.0023193293773257112,0.0006850165306040625,2.5455879770196295,0.05254063327950487,0.1373803882699008,0.0005991608241579543,81.39746988482719,0.4749184053030078,28.03016016681133,0.2041843986606937,0,15.581154943571935,19
11,X,1783,0.13688806639589796,0.0006030903733567894,1.000002038258673,0.02766639905426549,81.58888397311068,0.4866755428378795,0.9900000003570719,0.7559345294179265,0.002597244540347894,0.0007107638677958556,2.43606522244884,0.045018620373202145,0.13688806639589796,0.0006030903733567894,81.58888397311068,0.4866755428378795,27.995389596811158,0.20760289111147706,0,19.251108186908507,19
