Scan,Type,BCID,sigma,sigmaErr,sigmaRatio,sigmaRatio_Err,Amp,AmpErr,Frac,FracErr,Mean,MeanErr,Const,ConstErr,CapSigma,CapSigmaErr,peak,peakErr,area,areaErr,fitStatus,chi2,ndof
1,X,41,0.13939866296215922,0.0003659293874974495,1.0000007954046533,0.04351503997699224,69.94315917029078,0.23215120224396202,0.9947894048306861,0.7443727284976438,0.00025027840015165437,0.0003958244042987041,0.3386978562835062,0.030707479765122947,0.13939866296215922,0.0003659293874974495,69.94315917029078,0.23215120224396202,24.43958274334115,0.10342194688284508,0,32.88867422544475,19
1,X,281,0.13406949624493011,0.00032640172910450847,1.0000030926452943,0.015087420446324384,78.99561626387522,0.25138188342916834,0.8122627651291583,0.5632564359779623,0.00017394017528234217,0.00037788646559435725,0.33193215019668504,0.02735320646079173,0.13406949624493011,0.00032640172910450847,78.99561626387522,0.25138188342916834,26.54745560535359,0.10636786432675199,0,29.81762874687473,19
1,X,872,0.13532562795115366,0.0003422421687901576,1.0000000108722287,0.03889739861913177,77.5468326887172,0.2553377225385276,0.07352343809472422,0.7996163111314513,0.0013946086411630412,0.00038820891862012573,0.3442069607069756,0.030238087130732533,0.13532562795115366,0.0003422421687901576,77.5468326887172,0.2553377225385276,26.304742176397347,0.10921312275177175,0,36.07215298899348,19
1,X,1783,0.13253503234397895,0.00033269209435990915,1.0000135337856948,0.04289478811605785,80.10261286495523,0.25684566135846154,0.995822940198261,0.7411042484610333,0.0010542824031060936,0.00036748437406639814,0.4254634068662957,0.03411522377942583,0.13253503234397895,0.00033269209435990915,80.10261286495523,0.25684566135846154,26.611374397848707,0.10836606941066554,0,35.144783744354804,19
1,X,2063,0.13323506776857888,0.0002992559676666279,1.0000085112508015,0.04352167854864275,79.41642132118719,0.23748630401563275,0.9958123045677826,0.7411401158608926,0.001111199715611253,0.00033878691369394553,0.33008413090100236,0.023754278091178693,0.13323506776857888,0.0002992559676666279,79.41642132118719,0.23748630401563275,26.522764812040684,0.0991940878188459,0,33.18005161485124,19
1,X,sum,-3.319468423869625e-05,0.001461578490692616,0.5278420463594762,0.028921698320677598,0.24514591331330993,1.2264605054982132,0.9900000000054819,0.2601349124799807,0.00038450278942532665,0.48666426339228774,0.3,0.022311344804016014,-3.319468423869625e-05,0.001461578490692616,0.24514591331330993,1.2264605054982132,-2.0397790819899523e-05,0.0009039040239386969,0,2.2500000000000004,19
10,Y,41,0.1332417402766768,0.00033541508469503727,1.000004392723873,0.029280505644873944,73.98412503800014,0.24558491232455282,0.9900000798717593,0.7559343695780303,-0.00017725302812941757,0.00037476593653795043,0.38071301380241185,0.02839609268130383,0.1332417402766768,0.00033541508469503727,73.98412503800014,0.24558491232455282,24.709773962767457,0.10294107659383762,0,31.894501351354105,19
10,Y,281,0.12321180175518025,0.00030092023049488645,0.9999987487834878,0.03145460416657819,82.69885299725135,0.2673055501465882,0.8164020779126605,0.7539095141801369,-0.00030687991833508444,0.00034344667435157785,0.39924017045167004,0.02937683416712583,0.12321180175518025,0.00030092023049488645,82.69885299725135,0.2673055501465882,25.541225338725802,0.10347330681658205,0,17.61307269097813,19
10,Y,872,0.12448620065330451,0.00028897488693420496,0.9999989583795752,0.014548424266152882,82.1689747972024,0.270772862961131,0.6694348181814951,0.6651158397852975,0.00036268253170183894,0.0003544817097353114,0.320507338751802,0.02495108440382174,0.12448620065330451,0.00028897488693420496,82.1689747972024,0.270772862961131,25.64005869166863,0.10335119445007503,0,27.868639583475424,19
10,Y,1783,0.12229097887041139,0.00029663572550553586,1.0000616318332936,0.029992913680886746,83.80011113154336,0.27737829412079407,0.9900073150007594,0.7559198291338501,-0.0005685992845435039,0.00034061533759398803,0.3972774718061073,0.030228774440051565,0.12229097887041139,0.00029663572550553586,83.80011113154336,0.27737829412079407,25.687920591955617,0.10541408847724278,0,27.69163209980272,19
10,Y,2063,0.12323608721112031,1.8662870826364089e-06,1.0000013940079944,1.0300087376635219,82.63825557281832,0.0019004941400027064,0.9999971679991976,0.9664897868520436,-0.0005452231032052035,2.976705324113872e-06,0.36824887091009906,0.0002358128079318622,0.12323608721112031,1.8662870826364089e-06,82.63825557281832,0.0019004941400027064,25.52754062692753,0.0007029291401712754,0,49.743703272303016,19
10,Y,sum,-0.000135970540016944,0.0013391458362405912,0.519914584003579,0.008624427886528719,1.1,0.9873125120721375,0.99,0.2601349124837729,-0.001012625423890937,0.48666426339228774,0.3,0.02231134480405403,-0.000135970540016944,0.0013391458362405912,1.1,0.9873125120721375,-0.0003749103601356495,0.003707716587231752,0,2.2500000000000004,19
2,Y,41,0.1387189417878521,0.0005782451775572998,1.3470218402326375,1.1654686822025815,70.83186206611916,0.32987505539852435,0.958265103039859,0.19062246833464302,0.0017161270740631413,0.0003970338323072532,0.38430278611996815,0.041548689303076314,0.1387189417878521,0.0005782451775572998,70.83186206611916,0.32987505539852435,24.62942995359653,0.15393928281411973,0,10.842201839496077,19
2,Y,281,0.12869147569486114,0.00030657933478631707,0.9999785183430243,0.017354779721529212,79.48404799572182,0.25820493742942574,0.026447235930919966,0.5702162186821123,0.0006232905049292177,0.00035084579486725255,0.36585408704878897,0.02790323678491488,0.12869147569486114,0.00030657933478631707,79.48404799572182,0.25820493742942574,25.64009866409205,0.10328887156078809,0,23.69381904151505,19
2,Y,872,0.13101631847512263,0.00033347940988098264,1.0000016298286307,0.023698712133669197,77.69247885635171,0.2619395731164005,0.9900000185886333,0.755934492769005,0.0010020334934907518,0.0003782654082603437,0.3255430304855644,0.02755429441713586,0.13101631847512263,0.00033347940988098264,77.69247885635171,0.2619395731164005,25.514925474238982,0.10778553538585327,0,33.87415493788164,19
2,Y,1783,0.12758010073944182,0.0003127470982478691,1.0000134216620904,0.028192212920168436,80.43818456297448,0.261545802993723,0.9900010043053472,0.7559325112381132,0.0005301735793692194,0.0003554016185147203,0.3764265017347635,0.030257071540826186,0.12758010073944182,0.0003127470982478691,80.43818456297448,0.261545802993723,25.723800644834444,0.10474860706179522,0,36.059783643893915,19
2,Y,2063,0.12885001199577975,4.943648027420301e-08,1.001563841863783,1.1085163075550617,79.94698805071836,4.6945618016991375e-05,0.9999999999999949,0.004130590432962766,0.0010387740606926056,7.922262349865425e-08,0.30000000000001126,5.095733557336501e-10,0.12885001199577975,4.943648027420301e-08,79.94698805071836,4.6945618016991375e-05,25.82120490963265,1.8112080335952008e-05,0,47.63736136793344,19
2,Y,sum,-4.2468501769958516e-07,0.0008619601349512978,0.534238224702293,0.39183849899511614,0.22000148096334093,1.291417632545914,8.199275498371739e-05,0.24312592328792923,-0.00033222827732239373,0.48666426339228774,0.3,0.02231134480486529,-4.2468501769958516e-07,0.0008619601349512978,0.22000148096334093,1.291417632545914,-2.3419762062531153e-07,0.0004753401898688532,0,2.2500000000000004,19
3,Y,41,0.13833277171307576,0.0003544547249750135,1.0000025228605496,0.03367354622645824,70.95026318394834,0.23533609474385742,0.9900000543812473,0.7559344208188834,0.0007482027203137879,0.0003914972915128942,0.3965980374270154,0.031035173234611496,0.13833277171307576,0.0003544547249750135,70.95026318394834,0.23533609474385742,24.60192123565282,0.10311547961253244,0,29.85683511061445,19
